Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg F),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg F),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg F),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,Fuel Flow,MPG
0.06,1.0,10.0,2026-03-10 23:31:52,37.08164,-121.59966,429.0,0.0,47.8,-12.7,,,,,0.0,,,,,,,,,,,75.2,,,,,,140.0,,130.0,-100.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,15.7,,,,4.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
1.06,1.0,10.0,2026-03-10 23:31:53,37.08164,-121.59966,429.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.4,0.0,88.0,0.0,-0.01,1.0,,-168.0,75.2,0.0,30.12,1201.0,,,140.0,,130.0,-100.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,8.0,4.998,,,2.758,0.869,0.0,136.22,,,,,,0.0,66.64999999999999,0.8863031914893615,,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
2.06,1.0,10.0,2026-03-10 23:31:54,37.08164,-121.59966,429.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.4,0.0,86.0,-0.0,-0.01,1.0,,-146.0,75.2,0.0,30.12,1201.0,,,140.0,,130.0,-100.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,7.0,4.998,,,2.758,0.869,0.0,,,,,,,0.0,66.64999999999999,0.8863031914893615,,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
3.06,1.0,10.0,2026-03-10 23:31:55,37.08164,-121.59966,430.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.3,0.0,85.0,0.0,-0.01,1.0,,-106.0,75.2,0.0,30.12,1201.0,,,140.0,,130.0,-100.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,7.0,4.998,,,2.758,0.869,0.0,,,,,,,0.0,66.64999999999999,0.8863031914893615,,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
4.06,1.0,10.0,2026-03-10 23:31:57,37.08164,-121.59966,430.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.4,0.0,84.0,0.0,-0.01,1.0,,-60.0,75.2,0.0,30.12,1204.0,,,140.0,,130.0,-100.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,7.0,4.998,,,2.758,0.869,0.0,65.3,,,,,,0.0,66.64999999999999,0.8863031914893615,,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
5.06,1.0,10.0,2026-03-10 23:31:57,37.08164,-121.59966,431.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.4,0.0,84.0,0.0,-0.01,1.0,,-50.0,75.2,0.0,30.12,1204.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,66.2,0.0,0.0,30.2,0.0,,0.0,0.2,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,8.0,4.998,,,2.758,0.868,0.0,65.3,,,,,,0.0,66.64999999999999,0.8863031914893615,0.8803191489361702,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
6.06,1.0,10.0,2026-03-10 23:31:58,37.08164,-121.59965,431.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.4,0.0,84.0,0.0,-0.01,1.0,,-58.0,75.2,0.0,30.12,1204.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,66.2,0.0,0.0,30.3,0.0,,0.0,0.2,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,8.0,4.998,,,2.758,0.869,0.0,65.3,,,,,,0.0,66.64999999999999,0.8863031914893615,0.8803191489361702,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
7.06,1.0,10.0,2026-03-10 23:31:59,37.08164,-121.59965,431.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.4,0.0,81.0,0.0,-0.01,1.0,,-89.0,75.2,0.0,30.12,1203.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,64.4,0.0,0.0,30.3,0.0,,0.0,0.2,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,7.0,4.998,,,2.758,0.869,0.0,65.3,,,,,,0.0,66.64999999999999,0.8863031914893615,0.8563829787234043,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
8.06,1.0,10.0,2026-03-10 23:32:00,37.08164,-121.59965,432.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.4,0.0,80.0,0.0,-0.01,1.0,,-97.0,75.2,0.0,30.12,1203.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,64.4,0.0,0.0,30.3,0.0,,0.0,0.2,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,7.0,4.998,,,2.759,0.869,0.0,65.3,,,,,,0.0,66.64999999999999,0.8863031914893615,0.8563829787234043,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
9.06,1.0,10.0,2026-03-10 23:32:01,37.08164,-121.59965,432.0,0.0,47.8,-12.6,,,,,0.0,10.7,-0.8,38.4,0.0,79.0,0.0,-0.01,1.0,,-79.0,75.2,0.0,30.12,1203.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,64.4,0.0,0.0,30.3,0.0,,0.0,0.2,,,15.7,0.0,0.0,-0.7,4.0,2.7,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,9.0,254.4,,0.2,7.0,4.998,,,2.758,0.868,0.0,65.3,,,,,,0.0,66.64999999999999,0.8863031914893615,0.8563829787234043,0.0,0.0,406.4,True,2026-03-10 23:31:52 - Flight 1,0.0,0.0
