Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_Delta_T,OIL_Delta_T,Fuel Flow Integral,Distance Traveled,MPG,Max CHT,Engine Run,Flight ID
16.06,1,7,2026-04-30 00:54:45,37.08156,-121.59962,321.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-0.7,16.7,0.0,235.0,0.1,-0.01,1.0,99.0,5.0,27.0,0.0,29.89,1701.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.1,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,1.0,254.2,0.0,0.1,3.0,0.0,0.0,0.0,1.304,0.831,0.0,40.9,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.61999999999999,0.0,191.75,111.15,25.019999999999996,0.0,0.16866666666666666,0.0,381.2,True,2026-04-30 00:54:35
17.06,1,7,2026-04-30 00:54:46,37.08156,-121.59961,320.0,0.1,336.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-0.7,16.7,0.0,235.0,0.1,-0.01,1.0,99.0,4.0,27.0,0.0,29.89,1702.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,1.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.83,0.0,40.9,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.61999999999999,0.0,191.75,111.15,25.019999999999996,0.0,0.253,0.0,381.2,True,2026-04-30 00:54:35
18.06,1,7,2026-04-30 00:54:47,37.08156,-121.59961,320.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.9,-0.7,16.8,0.0,235.0,0.1,-0.01,1.0,99.0,1.0,27.0,0.0,29.89,1702.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.1,0.0,0.1,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,1.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.829,0.0,41.0,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.8,0.0,191.75,111.15,25.200000000000003,1.388888888888889e-05,0.3373333333333333,0.0,381.2,True,2026-04-30 00:54:35
19.06,1,7,2026-04-30 00:54:48,37.08156,-121.59961,319.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-0.7,16.7,0.0,235.0,0.1,-0.01,1.0,99.0,9.0,27.0,0.0,29.89,1702.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.1,0.0,0.1,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,0.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.829,0.0,40.9,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.61999999999999,0.0,191.75,111.15,25.019999999999996,4.166666666666667e-05,0.3373333333333333,0.0,381.2,True,2026-04-30 00:54:35
20.06,1,7,2026-04-30 00:54:49,37.08156,-121.59961,318.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.9,-0.7,16.8,0.0,235.0,0.1,-0.01,1.0,99.0,8.0,27.0,0.0,29.89,1711.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,0.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.829,0.0,41.0,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.8,0.0,191.75,111.15,25.200000000000003,5.555555555555556e-05,0.3373333333333333,0.0,381.2,True,2026-04-30 00:54:35
21.06,1,7,2026-04-30 00:54:50,37.08156,-121.59961,317.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-0.8,16.8,0.0,235.0,0.1,-0.01,1.0,99.0,19.0,27.0,0.0,29.89,1711.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,0.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.829,0.0,41.0,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.8,0.0,191.75,111.15,25.200000000000003,5.555555555555556e-05,0.3373333333333333,0.0,381.2,True,2026-04-30 00:54:35
22.06,1,7,2026-04-30 00:54:51,37.08156,-121.59961,315.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-0.8,16.7,0.0,235.0,0.1,-0.01,1.0,99.0,-22.0,27.0,0.0,29.89,1711.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,0.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.829,0.0,41.0,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.8,0.0,191.75,111.15,25.200000000000003,5.555555555555556e-05,0.3373333333333333,0.0,381.2,True,2026-04-30 00:54:35
23.06,1,7,2026-04-30 00:54:52,37.08156,-121.59961,314.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-0.8,16.7,0.0,235.0,0.1,-0.01,1.0,99.0,-59.0,27.0,0.0,29.89,1711.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,0.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.829,0.0,41.0,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.8,0.0,191.75,111.15,25.200000000000003,5.555555555555556e-05,0.3373333333333333,0.0,381.2,True,2026-04-30 00:54:35
24.06,1,7,2026-04-30 00:54:53,37.08156,-121.59961,313.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-0.8,16.7,0.0,235.0,0.1,-0.01,1.0,99.0,-69.0,27.0,0.0,29.89,1712.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,0.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.829,0.0,41.0,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.8,0.0,191.75,111.15,25.200000000000003,5.555555555555556e-05,0.3373333333333333,0.0,381.2,True,2026-04-30 00:54:35
25.06,1,7,2026-04-30 00:54:54,37.08156,-121.59961,311.0,0.0,336.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-0.8,16.6,0.0,234.0,0.1,-0.01,1.0,99.0,-52.0,27.0,0.0,29.89,1712.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,13.0,10.7,0.0,0.0,0.0,0.0,88.0,50.0,90.0,52.0,88.0,55.0,89.0,51.0,0.0,0.0,0.0,254.2,0.0,0.0,3.0,0.0,0.0,0.0,1.304,0.829,0.0,41.0,0.0,0.0,0.0,,0.0,80.6,105.8,0.0,0.0,0.0,0.0,190.4,122.0,194.0,125.6,190.4,131.0,192.2,123.8,0.0,0.0,105.8,0.0,191.75,111.15,25.200000000000003,5.555555555555556e-05,0.3373333333333333,0.0,381.2,True,2026-04-30 00:54:35
