Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,source_file,Unnamed: 0,press_alt,ias,hdg,gps_gs,gps_trk,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,efficiency
14.06,1.0,9.0,2026-02-28 17:33:59,37.08167,-121.59969,379.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.3,0.0,249.0,0.1,-0.01,1.0,,-47.0,19.0,0.0,30.24,832.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.93,0.824,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
15.06,1.0,9.0,2026-02-28 17:34:00,37.08167,-121.59969,380.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.3,0.0,249.0,0.1,-0.01,1.0,,-22.0,19.0,0.0,30.24,832.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,11.0,254.4,,0.0,21.0,4.998,,,0.93,0.824,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
16.06,1.0,9.0,2026-02-28 17:34:01,37.08167,-121.59969,382.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.3,0.0,249.0,0.1,-0.01,1.0,,-14.0,20.0,0.0,30.24,832.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
17.06,1.0,9.0,2026-02-28 17:34:02,37.08167,-121.59969,383.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.2,0.0,249.0,0.0,-0.01,1.0,,-20.0,20.0,0.0,30.24,841.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
18.06,1.0,9.0,2026-02-28 17:34:03,37.08167,-121.59969,384.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.2,0.0,249.0,0.0,-0.01,1.0,,4.0,20.0,0.0,30.24,841.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,13.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
19.06,1.0,9.0,2026-02-28 17:34:04,37.08167,-121.59969,385.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.2,0.0,249.0,0.0,-0.01,1.0,,-20.0,20.0,0.0,30.24,841.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,13.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
20.06,1.0,9.0,2026-02-28 17:34:05,37.08167,-121.59969,386.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.7,34.3,0.0,249.0,0.0,-0.01,1.0,,-50.0,20.0,0.0,30.24,842.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,14.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
21.06,1.0,9.0,2026-02-28 17:34:06,37.08167,-121.59969,387.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.7,34.3,0.0,247.0,0.1,-0.01,1.0,,-74.0,20.0,0.0,30.24,842.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,14.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
22.06,1.0,9.0,2026-02-28 17:34:07,37.08167,-121.59969,388.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.2,0.0,245.0,0.0,-0.01,1.0,,-86.0,20.0,0.0,30.24,842.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
23.06,1.0,9.0,2026-02-28 17:34:08,37.08167,-121.59969,388.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.2,0.0,244.0,0.0,-0.01,1.0,,-77.0,20.0,0.0,30.24,847.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,13.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
24.06,1.0,9.0,2026-02-28 17:34:09,37.08167,-121.59969,389.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.2,0.0,243.0,0.0,-0.01,1.0,,-92.0,20.0,0.0,30.24,847.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
25.06,1.0,9.0,2026-02-28 17:34:10,37.08167,-121.59969,389.0,0.0,157.3,-12.6,,,,,0.0,10.8,-0.8,34.2,0.0,241.0,0.0,-0.01,1.0,,-80.0,20.0,0.0,30.24,847.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,13.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
26.06,1.0,9.0,2026-02-28 17:34:11,37.08168,-121.59969,389.0,0.0,157.3,-12.6,,,,,0.0,10.8,-0.8,34.2,0.0,239.0,0.1,-0.01,1.0,,-106.0,20.0,0.0,30.24,841.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,14.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
27.06,1.0,9.0,2026-02-28 17:34:12,37.08168,-121.59969,389.0,0.0,157.3,-12.6,,,,,0.0,10.8,-0.8,34.2,0.0,236.0,0.0,-0.01,1.0,,-151.0,20.0,0.0,30.24,841.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,15.0,254.4,,0.0,21.0,4.998,,,0.93,0.825,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,68.0,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.8742647058823529,0.8411764705882353,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
