Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,Fuel Flow Integral,Max CHT,Engine Run,Flight ID
8.06,1,4,2026-02-07 23:30:08,37.08152,-121.59963,319.0,0.1,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.8,-1.3,57.1,0.0,-10.0,0.0,-0.02,1.0,0.0,-88.0,21.0,0.0,30.25,736.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.653,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
9.06,1,4,2026-02-07 23:30:09,37.08149,-121.59967,290.0,0.3,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.3,57.0,0.0,-11.0,0.0,-0.02,1.0,0.0,-72.0,21.0,0.0,30.25,736.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.653,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
10.06,1,4,2026-02-07 23:30:10,37.08147,-121.59969,279.0,0.2,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.2,57.0,0.0,-13.0,-0.0,-0.02,1.0,0.0,-82.0,21.0,0.0,30.25,729.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.653,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
11.06,1,4,2026-02-07 23:30:11,37.08147,-121.59969,271.0,0.1,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.2,57.0,0.0,-14.0,-0.0,-0.02,1.0,0.0,-97.0,21.0,0.0,30.25,729.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.653,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
12.06,1,6,2026-02-07 23:30:12,37.08147,-121.59969,272.0,0.0,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.2,57.0,0.0,-16.0,-0.0,-0.02,1.0,0.0,-102.0,21.0,0.0,30.25,729.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.654,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
13.06,1,6,2026-02-07 23:30:13,37.08155,-121.59961,339.0,0.0,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.3,57.0,0.0,-20.0,-0.0,-0.02,1.0,0.0,-135.0,21.0,0.0,30.25,721.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.653,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
14.06,1,6,2026-02-07 23:30:14,37.08155,-121.59961,337.0,0.1,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.3,57.0,0.0,-22.0,-0.0,-0.02,1.0,0.0,-143.0,21.0,0.0,30.25,721.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.653,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
15.06,1,7,2026-02-07 23:30:15,37.08155,-121.59953,410.0,0.1,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.3,57.0,0.0,-24.0,-0.0,-0.02,1.0,0.0,-97.0,21.0,0.0,30.25,721.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.653,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
16.06,1,7,2026-02-07 23:30:16,37.08155,-121.59956,372.0,0.0,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.2,57.0,0.0,-25.0,-0.0,-0.02,1.0,0.0,-102.0,21.0,0.0,30.25,715.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.653,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
17.06,1,7,2026-02-07 23:30:17,37.08155,-121.59956,373.0,0.1,50.4,-12.6,0.0,0,0.0,0.0,0.0,10.9,-1.3,56.9,0.0,-27.0,-0.0,-0.02,1.0,0.0,-115.0,21.0,0.0,30.25,715.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,-0.8,1.1,0.4,0.0,0.0,0.0,0.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,0.0,0.0,-37.0,+254.4,0.0,0.0,-8.0,0.0,0.0,0.0,0.654,0.791,0.0,19.9,0.0,0.0,0.0,0,0.0,0.0,0.0,267.8,True,2026-02-07 23:30:08 - Flight 1
