Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,source_file,Unnamed: 0,press_alt,ias,hdg,gps_gs,gps_trk,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,efficiency
18.06,1.0,10.0,2026-03-14 00:36:17,37.08165,-121.59961,342.0,0.0,200.0,-12.6,,,,,0.0,10.7,-2.0,42.9,0.0,194.0,0.1,-0.03,1.0,,-56.0,24.0,0.0,30.15,1313.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
19.06,1.0,10.0,2026-03-14 00:36:18,37.08165,-121.5996,342.0,0.0,200.0,-12.6,,,,,0.0,10.7,-2.0,42.9,0.0,194.0,0.1,-0.03,1.0,,-38.0,24.0,0.0,30.15,1310.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.6,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
20.06,1.0,10.0,2026-03-14 00:36:19,37.08166,-121.5996,341.0,0.0,200.0,-12.6,,,,,0.0,10.7,-2.0,42.9,0.0,194.0,0.1,-0.03,1.0,,-45.0,24.0,0.0,30.15,1310.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.6,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
21.06,1.0,10.0,2026-03-14 00:36:20,37.08166,-121.5996,340.0,0.0,200.0,-12.6,,,,,0.0,10.7,-1.9,42.9,0.0,193.0,0.1,-0.03,1.0,,-41.0,24.0,0.0,30.15,1310.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.6,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
22.06,1.0,10.0,2026-03-14 00:36:21,37.08166,-121.59961,340.0,0.0,200.0,-12.6,,,,,0.0,10.7,-2.0,42.9,0.0,191.0,0.1,-0.03,1.0,,-72.0,24.0,0.0,30.15,1314.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.6,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
23.06,1.0,10.0,2026-03-14 00:36:21,37.08166,-121.59961,339.0,0.0,200.0,-12.6,,,,,0.0,10.8,-2.0,42.8,0.0,190.0,0.1,-0.03,1.0,,-39.0,24.0,0.0,30.15,1313.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.6,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
24.06,1.0,10.0,2026-03-14 00:36:22,37.08166,-121.59961,339.0,0.0,200.0,-12.6,,,,,0.0,10.7,-2.0,42.9,0.0,189.0,0.1,-0.03,1.0,,-67.0,24.0,0.0,30.15,1313.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.6,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
25.06,1.0,10.0,2026-03-14 00:36:23,37.08166,-121.59961,338.0,0.0,200.0,-12.6,,,,,0.0,10.7,-2.0,42.9,0.0,189.0,0.1,-0.03,1.0,,-55.0,24.0,0.0,30.15,1311.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.6,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
26.06,1.0,10.0,2026-03-14 00:36:24,37.08166,-121.59961,338.0,0.0,200.0,-12.6,,,,,0.0,10.8,-1.9,42.9,0.0,189.0,0.1,-0.03,1.0,,-25.0,24.0,0.0,30.15,1311.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.5,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
27.06,1.0,10.0,2026-03-14 00:36:26,37.08166,-121.59961,337.0,0.0,200.0,-12.6,,,,,0.0,10.8,-2.0,42.8,0.0,189.0,0.1,-0.03,1.0,,-14.0,24.0,0.0,30.15,1311.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.5,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
28.06,1.0,10.0,2026-03-14 00:36:26,37.08166,-121.59961,337.0,0.0,200.0,-12.6,,,,,0.0,10.8,-2.0,42.8,0.0,189.0,0.1,-0.03,1.0,,-5.0,24.0,0.0,30.15,1312.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.5,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
29.06,1.0,10.0,2026-03-14 00:36:27,37.08166,-121.59961,337.0,0.0,200.0,-12.6,,,,,0.0,10.8,-2.0,42.8,0.0,189.0,0.1,-0.03,1.0,,-10.0,24.0,0.0,30.15,1312.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.5,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
30.06,1.0,10.0,2026-03-14 00:36:29,37.08166,-121.59961,337.0,0.0,200.0,-12.6,,,,,0.0,10.8,-2.0,42.8,0.0,189.0,0.1,-0.03,1.0,,-18.0,24.0,0.0,30.15,1312.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.5,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
31.06,1.0,10.0,2026-03-14 00:36:29,37.08166,-121.59961,336.0,0.0,200.0,-12.6,,,,,0.0,10.8,-2.0,42.9,0.0,188.0,0.1,-0.03,1.0,,-3.0,24.0,0.0,30.15,1311.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.5,5.0,3.6,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.848,0.0,21.0,,,,,,2026-03-14-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,75.2,69.8,,,,,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,,,69.8,0.0,71.6,0.952127659574468,0.928191489361702,0.0,0.0,419.0,True,2026-03-14 00:36:07 - Flight 12,
