Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,source_file,Unnamed: 0,press_alt,ias,hdg,gps_gs,gps_trk,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,efficiency
6.06,1.0,5.0,2026-02-14 01:11:43,37.08173,-121.59956,481.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.5,51.3,0.0,133.0,-0.0,-0.03,1.0,,-112.0,17.0,0.0,30.11,365.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,31.0,,,-16.0,254.5,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.6,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,87.8,,,99.68,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.0,386.6,True,2026-02-14 01:11:43 - Flight 23,
7.06,1.0,8.0,2026-02-14 01:11:44,37.08171,-121.59962,372.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.5,51.3,0.0,132.0,-0.0,-0.03,1.0,,-107.0,17.0,0.0,30.11,365.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,31.0,,,-16.0,254.5,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,87.8,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.0,386.6,True,2026-02-14 01:11:43 - Flight 23,
8.06,1.0,8.0,2026-02-14 01:11:45,37.08167,-121.59962,376.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.5,51.2,0.0,130.0,-0.0,-0.03,1.0,,-102.0,17.0,0.0,30.11,365.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,31.0,,,-16.0,254.5,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,87.8,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.0,386.6,True,2026-02-14 01:11:43 - Flight 23,
9.06,1.0,8.0,2026-02-14 01:11:46,37.08167,-121.59962,375.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.6,51.2,0.0,130.0,-0.0,-0.03,1.0,,-82.0,17.0,0.0,30.11,361.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,31.0,,,-16.0,254.5,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,87.8,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.0,386.6,True,2026-02-14 01:11:43 - Flight 23,
10.06,1.0,8.0,2026-02-14 01:11:47,37.08167,-121.59962,375.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.5,51.2,0.0,129.0,-0.0,-0.03,1.0,,-54.0,17.0,0.0,30.11,361.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,31.0,,,-16.0,254.5,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,87.8,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.0,386.6,True,2026-02-14 01:11:43 - Flight 23,
11.06,1.0,9.0,2026-02-14 01:11:48,37.08166,-121.59963,381.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.5,51.2,0.0,129.0,-0.0,-0.03,1.0,,-28.0,17.0,0.0,30.11,361.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,31.0,,,-16.0,254.4,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,87.8,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.0,386.6,True,2026-02-14 01:11:43 - Flight 23,
12.06,1.0,9.0,2026-02-14 01:11:49,37.08165,-121.59964,385.0,0.1,27.5,-12.6,,,,,0.0,10.8,-1.6,51.3,0.0,129.0,0.0,-0.03,1.0,,-23.0,17.0,0.0,30.11,360.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,31.0,,,-16.0,254.4,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,87.8,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.08433333333333333,386.6,True,2026-02-14 01:11:43 - Flight 23,
13.06,1.0,9.0,2026-02-14 01:11:50,37.08165,-121.59964,385.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.5,51.3,0.0,128.0,0.0,-0.03,1.0,,-31.0,17.0,0.0,30.11,360.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,32.0,,,-16.0,254.4,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,89.6,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.16866666666666666,386.6,True,2026-02-14 01:11:43 - Flight 23,
14.06,1.0,9.0,2026-02-14 01:11:51,37.08165,-121.59964,385.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.6,51.2,0.0,128.0,-0.0,-0.03,1.0,,-5.0,17.0,0.0,30.11,360.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,31.0,,,-16.0,254.4,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,87.8,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.16866666666666666,386.6,True,2026-02-14 01:11:43 - Flight 23,
15.06,1.0,9.0,2026-02-14 01:11:52,37.08165,-121.59964,386.0,0.0,27.5,-12.6,,,,,0.0,10.8,-1.6,51.2,0.0,126.0,-0.0,-0.03,1.0,,-42.0,17.0,0.0,30.11,357.0,,,326.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,0.0,30.2,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,1.4,0.6,,,,,57.0,31.0,55.0,32.0,55.0,33.0,53.0,32.0,,,-16.0,254.4,,0.6,-7.0,0.0,,,0.658,0.791,0.0,37.5,,,,,,2026-02-14-N890GF-SN35347-17.4.0.23677-2ND_TAXI-USER_LOG_DATA.csv,,,,,,,62.6,100.4,,,,,134.6,87.8,131.0,89.6,131.0,91.4,127.4,89.6,,,99.5,0.0,131.0,2.092651757188498,1.6038338658146964,0.0,0.16866666666666666,386.6,True,2026-02-14 01:11:43 - Flight 23,
