Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,source_file,Unnamed: 0,press_alt,ias,hdg,gps_gs,gps_trk,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,efficiency
5.06,1.0,4.0,2025-11-29 20:30:35,37.08153,-121.59957,350.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.7,43.6,0.0,153.0,0.0,-0.01,1.0,,-65.0,12.0,0.0,30.05,-203.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-25.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
6.06,1.0,10.0,2025-11-29 20:30:36,37.0816,-121.59962,389.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.7,43.6,0.0,153.0,0.0,-0.01,1.0,,-30.0,12.0,0.0,30.05,-203.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-25.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
7.06,1.0,10.0,2025-11-29 20:30:37,37.08158,-121.59966,371.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.7,43.6,0.0,152.0,0.0,-0.01,1.0,,-46.0,12.0,0.0,30.05,-203.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-26.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
8.06,1.0,10.0,2025-11-29 20:30:38,37.08158,-121.59966,376.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.8,43.6,0.0,152.0,0.0,-0.01,1.0,,-12.0,12.0,0.0,30.05,-205.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-25.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
9.06,1.0,10.0,2025-11-29 20:30:39,37.08158,-121.59966,380.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.8,43.5,0.0,151.0,0.0,-0.01,1.0,,-27.0,12.0,0.0,30.05,-205.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-25.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
10.06,1.0,10.0,2025-11-29 20:30:40,37.08158,-121.59965,383.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.7,43.5,0.0,151.0,0.0,-0.01,1.0,,-30.0,12.0,0.0,30.05,-205.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-26.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
11.06,1.0,10.0,2025-11-29 20:30:41,37.08158,-121.59965,385.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.7,43.6,0.0,148.0,0.0,-0.01,1.0,,-81.0,12.0,0.0,30.05,-201.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-26.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
12.06,1.0,10.0,2025-11-29 20:30:42,37.08158,-121.59965,385.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.7,43.6,0.0,147.0,0.0,-0.01,1.0,,-89.0,12.0,0.0,30.05,-203.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-28.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
13.06,1.0,10.0,2025-11-29 20:30:43,37.08158,-121.59965,386.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.7,43.5,0.0,146.0,0.0,-0.01,1.0,,-50.0,12.0,0.0,30.05,-203.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-26.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
14.06,1.0,10.0,2025-11-29 20:30:44,37.08158,-121.59965,385.0,0.0,243.6,-12.6,,,,,0.0,10.9,-0.7,43.6,0.0,146.0,0.0,-0.01,1.0,,-52.0,12.0,0.0,30.05,-203.0,,,325.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,39.2,0.0,0.0,-0.2,0.2,0.1,,,,,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,,,-25.0,254.5,,0.0,1.0,0.0,,,0.653,0.696,0.0,10.5,,,,,,2025-11-29-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,53.6,51.8,,,,,51.8,53.6,51.8,53.6,51.8,53.6,51.8,53.6,,,50.9,0.0,51.8,0.9664179104477612,0.9664179104477612,0.0,0.0,347.0,True,2025-11-29 20:30:35 - Flight 5,
